ideTarifaMediaFornecimento,nomClasseConsumo,nomRegiao,vlrConsumoMWh,mesReferencia,anoReferencia,dthProcessamento,
1,Comercial e Serviços e Outras,Brasil,434.27,12,2016,13/09/2017 00:00:00,
2,Comercial e Serviços e Outras,Brasil,449.36,9,2016,13/09/2017 00:00:00,
3,Comercial e Serviços e Outras,Centro-Oeste,452.17,12,2016,13/09/2017 00:00:00,
4,Comercial e Serviços e Outras,Centro-Oeste,535.42,9,2016,13/09/2017 00:00:00,
5,Comercial e Serviços e Outras,Nordeste,415.44,12,2016,13/09/2017 00:00:00,
6,Comercial e Serviços e Outras,Nordeste,413.02,9,2016,13/09/2017 00:00:00,
7,Comercial e Serviços e Outras,Norte,484.89,12,2016,13/09/2017 00:00:00,
8,Comercial e Serviços e Outras,Norte,466.56,9,2016,13/09/2017 00:00:00,
9,Comercial e Serviços e Outras,Sudeste,436.31,12,2016,13/09/2017 00:00:00,
10,Comercial e Serviços e Outras,Sudeste,452.47,9,2016,13/09/2017 00:00:00,
11,Comercial e Serviços e Outras,Sul,420.76,12,2016,13/09/2017 00:00:00,
12,Comercial e Serviços e Outras,Sul,422.36,9,2016,13/09/2017 00:00:00,
13, Serviços e Outras,Brasil,188.85,12,2012,13/09/2017 00:00:00,
14, Serviços e Outras,Brasil,270.41,12,2013,13/09/2017 00:00:00,
15, Serviços e Outras,Brasil,292.94,12,2014,13/09/2017 00:00:00,
16, Serviços e Outras,Brasil,411.64,12,2015,13/09/2017 00:00:00,
17, Serviços e Outras,Brasil,448.07,3,2003,13/09/2017 00:00:00,
18, Serviços e Outras,Brasil,272.11,3,2012,13/09/2017 00:00:00,
19, Serviços e Outras,Brasil,154.84,3,2013,13/09/2017 00:00:00,
20, Serviços e Outras,Brasil,269.68,3,2014,13/09/2017 00:00:00,
21, Serviços e Outras,Brasil,348.35,3,2015,13/09/2017 00:00:00,
22, Serviços e Outras,Brasil,450.40,3,2016,13/09/2017 00:00:00,
23, Serviços e Outras,Brasil,435.47,3,2017,13/09/2017 00:00:00,
24, Serviços e Outras,Brasil,272.11,6,2012,13/09/2017 00:00:00,
25, Serviços e Outras,Brasil,262.75,6,2013,13/09/2017 00:00:00,
26, Serviços e Outras,Brasil,273.64,6,2014,13/09/2017 00:00:00,
27, Serviços e Outras,Brasil,384.18,6,2015,13/09/2017 00:00:00,
28, Serviços e Outras,Brasil,448.75,6,2016,13/09/2017 00:00:00,
29, Serviços e Outras,Brasil,182.04,9,2012,13/09/2017 00:00:00,
30, Serviços e Outras,Brasil,266.13,9,2013,13/09/2017 00:00:00,
31, Serviços e Outras,Brasil,278.04,9,2014,13/09/2017 00:00:00,
32, Serviços e Outras,Brasil,401.58,9,2015,13/09/2017 00:00:00,
33, Serviços e Outras,Centro-Oeste,201.56,12,2012,13/09/2017 00:00:00,
34, Serviços e Outras,Centro-Oeste,283.45,12,2013,13/09/2017 00:00:00,
35, Serviços e Outras,Centro-Oeste,297.50,12,2014,13/09/2017 00:00:00,
36, Serviços e Outras,Centro-Oeste,419.93,12,2015,13/09/2017 00:00:00,
37, Serviços e Outras,Centro-Oeste,456.85,3,2003,13/09/2017 00:00:00,
38, Serviços e Outras,Centro-Oeste,301.75,3,2012,13/09/2017 00:00:00,
39, Serviços e Outras,Centro-Oeste,167.88,3,2013,13/09/2017 00:00:00,
40, Serviços e Outras,Centro-Oeste,277.53,3,2014,13/09/2017 00:00:00,
41, Serviços e Outras,Centro-Oeste,357.71,3,2015,13/09/2017 00:00:00,
42, Serviços e Outras,Centro-Oeste,450.82,3,2016,13/09/2017 00:00:00,
43, Serviços e Outras,Centro-Oeste,451.60,3,2017,13/09/2017 00:00:00,
44, Serviços e Outras,Centro-Oeste,301.75,6,2012,13/09/2017 00:00:00,
45, Serviços e Outras,Centro-Oeste,272.00,6,2013,13/09/2017 00:00:00,
46, Serviços e Outras,Centro-Oeste,281.19,6,2014,13/09/2017 00:00:00,
47, Serviços e Outras,Centro-Oeste,386.09,6,2015,13/09/2017 00:00:00,
48, Serviços e Outras,Centro-Oeste,454.03,6,2016,13/09/2017 00:00:00,
49, Serviços e Outras,Centro-Oeste,175.75,9,2012,13/09/2017 00:00:00,
50, Serviços e Outras,Centro-Oeste,272.19,9,2013,13/09/2017 00:00:00,
51, Serviços e Outras,Centro-Oeste,282.34,9,2014,13/09/2017 00:00:00,
52, Serviços e Outras,Centro-Oeste,409.86,9,2015,13/09/2017 00:00:00,
53, Serviços e Outras,Nordeste,198.96,12,2012,13/09/2017 00:00:00,
54, Serviços e Outras,Nordeste,274.72,12,2013,13/09/2017 00:00:00,
55, Serviços e Outras,Nordeste,302.96,12,2014,13/09/2017 00:00:00,
56, Serviços e Outras,Nordeste,373.37,12,2015,13/09/2017 00:00:00,
57, Serviços e Outras,Nordeste,382.42,3,2003,13/09/2017 00:00:00,
58, Serviços e Outras,Nordeste,278.99,3,2012,13/09/2017 00:00:00,
59, Serviços e Outras,Nordeste,164.89,3,2013,13/09/2017 00:00:00,
60, Serviços e Outras,Nordeste,275.23,3,2014,13/09/2017 00:00:00,
61, Serviços e Outras,Nordeste,339.24,3,2015,13/09/2017 00:00:00,
62, Serviços e Outras,Nordeste,388.35,3,2016,13/09/2017 00:00:00,
63, Serviços e Outras,Nordeste,419.50,3,2017,13/09/2017 00:00:00,
64, Serviços e Outras,Nordeste,278.99,6,2012,13/09/2017 00:00:00,
65, Serviços e Outras,Nordeste,275.60,6,2013,13/09/2017 00:00:00,
66, Serviços e Outras,Nordeste,280.56,6,2014,13/09/2017 00:00:00,
67, Serviços e Outras,Nordeste,357.40,6,2015,13/09/2017 00:00:00,
68, Serviços e Outras,Nordeste,411.90,6,2016,13/09/2017 00:00:00,
69, Serviços e Outras,Nordeste,196.50,9,2012,13/09/2017 00:00:00,
70, Serviços e Outras,Nordeste,277.47,9,2013,13/09/2017 00:00:00,
