variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Aceguá;4300034;-31,86075999999;-54,16705999999;3490209;4043630;5992438;7666887;9189008;10049866
Água Santa;4300059;-28,1672;-52,03099999999;2679028;2806021;3827004;4525025;4630246;5121326
Agudo;4300109;-29,6447;-53,2515;23870975;32083380;41874508;39053479;48745560;54153755
Ajuricaba;4300208;-28,2342;-53,7757;6478374;9406409;11921166;12350350;12331582;14395810
Alecrim;4300307;-27,6579;-54,76489999999;1393096;1588927;2753073;3337758;3418303;3676196
Alegrete;4300406;-29,79019999999;-55,79489999999;57452988;66287912;87057618;98560227;98339460;111491220
Alegria;4300455;-27,83449999999;-54,0557;1032143;1328409;1672126;2181581;2702972;3519463
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;2201468;2929202;3719045;4576160;5001926;6355663
Alpestre;4300505;-27,2502;-53,0341;2532951;2795850;4227676;4782355;5617333;6479419
Alto Alegre;4300554;-28,7769;-52,98919999999;909304;1171621;1514005;1635741;1722457;2107722
Alto Feliz;4300570;-29,3919;-51,3123;2665977;2665274;3367119;4604715;5391472;6295938
Alvorada;4300604;-29,99139999999;-51,0809;145009862;181503678;207987291;216875139;210178812;205840861
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;1259296;2095851;2280404;2932489;3217803;3345203
Ametista do Sul;4300646;-27,3607;-53,183;2344390;2703563;4914649;5775936;6695899;7122628
André da Rocha;4300661;-28,62829999999;-51,5797;1306702;1429491;1766805;2079527;2262988;2325195
Anta Gorda;4300703;-28,96979999999;-52,01019999999;5862118;7701367;12529720;15761620;17168342;21393953
Antônio Prado;4300802;-28,8565;-51,2883;27585217;36063254;46944392;52495550;59455869;62889896
