variavel: Arrecadação Total;;;;;;;;;;;;
caminho: /Finanças Públicas/Tributos Estaduais/Arrecadação Total;;;;;;;;;;;;
fonte: Secretaria da Fazenda do Rio Grande do Sul. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$);2016 (R$);2017 (R$);2018 (R$)
Aceguá;4300034;-31,86075999999;-54,16705999999;1642593;975155;1284729;1790002;1783673;2748552;2546408;2537796;2570514
Água Santa;4300059;-28,1672;-52,03099999999;670239;911858;807587;963502;1191202;1223095;2127255;2299347;5227986
Agudo;4300109;-29,6447;-53,2515;13674724;12584535;16227403;17840610;18191215;16168346;19790275;19579911;20998278
Ajuricaba;4300208;-28,2342;-53,7757;2107984;1736656;2107121;2412403;4557351;4113381;5030436;5975765;6568569
Alecrim;4300307;-27,6579;-54,76489999999;726363;661685;832938;913200;913347;963721;1127642;1188458;1619654
Alegrete;4300406;-29,79019999999;-55,79489999999;33363397;30939480;36670912;47473440;48794904;45089608;58847417;54515450;66903126
Alegria;4300455;-27,83449999999;-54,0557;387316;407437;463894;547440;1054811;648069;674761;968021;971755
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;641829;526518;815325;1370364;1953539;1669795;2064087;2912181;4494052
Alpestre;4300505;-27,2502;-53,0341;4570913;2412800;1504026;1341439;1609585;2071923;2583346;2636908;2794044
Alto Alegre;4300554;-28,7769;-52,98919999999;314083;353565;451739;729116;555139;656721;810133;610063;705945
Alto Feliz;4300570;-29,3919;-51,3123;2088485;1570327;2302163;2723484;3313974;3026488;3154169;3586079;4877511
Alvorada;4300604;-29,99139999999;-51,0809;52188438;56726275;63831667;72728095;82169052;79346527;84444247;88105793;104763362
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;485737;419490;467450;532518;591188;643536;877216;748434;828229
Ametista do Sul;4300646;-27,3607;-53,183;1079867;1153222;1150364;1246297;1415386;1525143;1825324;1878983;2156477
André da Rocha;4300661;-28,62829999999;-51,5797;131016;193252;163655;189643;330881;290276;383023;266133;318733
Anta Gorda;4300703;-28,96979999999;-52,01019999999;3133978;4140824;5007584;7817838;8582894;8152316;9104211;9435639;12067013
Antônio Prado;4300802;-28,8565;-51,2883;16658968;18125368;19540348;25122841;26716387;25345786;28508832;29938463;37438749
Arambaré;4300851;-30,9093;-51,5046;483834;449935;557697;1168830;1037170;1005699;1276731;1091027;1029316
Araricá;4300877;-29,6168;-50,92909999999;5226981;5694679;4998029;6632456;5598704;5216382;5626871;5789965;6191410
Aratiba;4300901;-27,3978;-52,29749999999;3317584;4218032;3721218;3292624;4049117;4229605;3877803;4250980;8263548
Arroio do Meio;4301008;-29,40139999999;-51,9557;19600126;25917785;29971741;42653188;48743119;51308407;56842314;66388661;74040658
Arroio do Padre;4301073;-31,4316;-52,41709999999;421649;430476;491235;574375;673198;678885;862410;985719;1222045
Arroio do Sal;4301057;-29,5439;-49,88949999999;2442092;2190483;2694027;3542207;3614258;3900709;3942332;4833834;5344361
Arroio do Tigre;4301206;-29,3348;-53,0966;3051215;4204895;5356797;3698480;4530306;4081874;3936266;4072929;4393964
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;2958355;3994092;4366072;4656685;4239300;4469488;4433528;4535366;4509327
Arroio Grande;4301305;-32,2327;-53,08619999999;5555147;4470381;4152212;4770699;5488254;6324883;8371009;7269347;6972988
Arvorezinha;4301404;-28,87369999999;-52,1781;4195447;4151170;4416647;5846410;8510575;9003708;8939554;9136995;9962539
Augusto Pestana;4301503;-28,51729999999;-53,9883;2098781;2122154;2671606;3326549;4365401;4569029;4133584;4580772;5523182
Áurea;4301552;-27,6936;-52,0505;1105211;1098119;1014757;1264853;2409868;1999482;1905510;2500740;2853864
Bagé;4301602;-31,32969999999;-54,09989999999;44833662;46521476;55015271;68219338;69325286;69092439;73621791;72818554;82256405
Balneário Pinhal;4301636;-30,2419;-50,2336;1278064;1017829;1079043;1241629;1418454;1881073;2044825;2176925;2964462
Barão;4301651;-29,3725;-51,4949;7560681;8162683;6609346;7554981;9002083;7339371;9212630;12493436;14538544
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;8233395;7459168;6239862;7460559;8916835;10628433;9558146;9790912;13288351
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;644136;644543;653958;734546;1523470;844363;913841;969826;1148895
Barra do Guarita;4301859;-27,19269999999;-53,7109;272549;252046;301477;327245;344914;445424;578722;565781;838297
Barra do Quaraí;4301875;-30,2029;-57,5497;2668464;1975850;3934448;4253932;3680358;4192669;4639927;6019356;4649201
Barra do Ribeiro;4301909;-30,2939;-51,3014;4289542;4197647;4882773;5218427;6274390;5695166;7829460;7760856;9101092
Barra do Rio Azul;4301925;-27,4068;-52,4084;212592;202627;227376;268124;327212;346301;361191;422075;507015
Barra Funda;4301958;-27,9205;-53,03909999999;2145727;1765063;10840862;17255162;18348063;12819773;11882200;18376652;28249426
Barracão;4301800;-27,6739;-51,45859999999;2800760;2497560;2549019;3616654;5465561;4915340;6545917;3405654;5115204
Barros Cassal;4302006;-29,0947;-52,58359999999;1157655;1173230;1044735;1401645;1634679;1625964;1733228;1581761;1896000
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;134368;129177;146292;156549;191040;226934;264398;273415;340548
Bento Gonçalves;4302105;-29,1662;-51,5165;263005889;296593391;334910306;370060052;375065697;355137117;338125771;359255202;409977889
Boa Vista das Missões;4302154;-27,6671;-53,3102;511442;1109123;689040;804632;1377699;982577;998287;1069818;1041827
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;2127133;2041791;2517458;5632400;8558244;8585755;10654477;13977479;7873617
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;261061;415960;371049;803121;902812;692631;757574;754910;876001
Boa Vista do Incra;4302238;-28,8092;-53,3874;265720;419320;421355;446821;386896;772490;588744;629205;701906
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;2844164;3022547;2721625;3181366;3159004;3583076;5163322;6437636;5940705
Bom Jesus;4302303;-28,66969999999;-50,42949999999;3499835;4011413;4945725;3894078;3769220;5169523;4055445;4321909;5204933
Bom Princípio;4302352;-29,4856;-51,35479999999;12633552;14273224;18097104;21729150;22060362;24048423;25634274;28728161;31018484
Bom Progresso;4302378;-27,53989999999;-53,8716;186144;244168;227667;256043;434947;335596;351549;341458;442512
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;9149851;6564213;4228811;6171472;6395944;6874499;5162061;5262750;6098836
Boqueirão do Leão;4302451;-29,3046;-52,4284;925935;919798;1020717;1116464;1395729;1435798;1270370;1382767;1663069
Bossoroca;4302501;-28,72909999999;-54,9035;1459445;1827479;1779856;2313214;2279531;2219845;2068593;2378956;3735113
Bozano;4302584;-28,36746;-53,77223999999;264061;311590;467977;373086;461110;673458;837763;769254;1088751
Braga;4302600;-27,6173;-53,74049999999;255092;298127;536674;582341;996644;504619;529810;919061;795623
Brochier;4302659;-29,5501;-51,59449999999;1477901;1508279;1599284;1591762;1747247;2020911;2085308;2011255;2959220
Butiá;4302709;-30,11789999999;-51,96009999999;7640042;9433251;7239984;8948524;9652732;8352583;8128109;9519508;10004691
Caçapava do Sul;4302808;-30,51439999999;-53,4827;20021149;19277598;20631474;20751142;20805681;20548518;19445029;20301751;27118473
Cacequi;4302907;-29,8883;-54,822;4829623;4565803;4299422;4417278;5908519;4449041;5088017;4737986;5847815
Cachoeira do Sul;4303004;-30,033;-52,8928;49202409;53804305;48783469;57339240;57850512;60613824;59124117;57558493;66249046
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;523881058;560846712;632547875;548140610;468385677;498718601;563666777;618550557;792563161
Cacique Doble;4303202;-27,76699999999;-51,6597;658722;683695;740883;862863;899610;1167508;1137814;1156876;1452816
Caibaté;4303301;-28,2905;-54,6454;4324457;4761505;6177936;6006981;6719416;7762922;10275173;11212470;16206294
Caiçara;4303400;-27,2791;-53,42569999999;736032;751810;826510;934814;950801;1076409;1313693;1246281;1425695
Camaquã;4303509;-30,8489;-51,80429999999;97435431;96536895;102482543;132026016;131371421;136543835;160348269;170153586;165282095
Camargo;4303558;-28,588;-52,20029999999;597874;698185;757095;948686;1172899;1483955;1314441;1433172;1537147
Cambará do Sul;4303608;-29,0474;-50,1465;4419957;5033043;3237707;3167426;2832111;4525570;4385026;4730846;4071597
Campestre da Serra;4303673;-28,7926;-51,09409999999;2223184;3057590;4389036;11044736;6068435;6301591;4963871;6058347;5955817
Campina das Missões;4303707;-27,9888;-54,8417;1023008;1016571;1102059;1345876;1378548;1608399;1520309;1675379;2111463
Campinas do Sul;4303806;-27,7174;-52,6248;1901708;2547490;2228655;3308982;3739860;3383413;2563634;2992201;3924656
Campo Bom;4303905;-29,6747;-51,0606;120201835;134396447;149402603;148504271;162993275;267339227;177493901;183141613;198583623
Campo Novo;4304002;-27,6792;-53,80519999999;2639894;2339540;2369770;4352543;4174388;5396949;4809015;6564936;7085075
Campos Borges;4304101;-28,8871;-53,00079999999;617260;635956;803278;995074;1667369;1088275;1229221;1597762;1445357
Candelária;4304200;-29,66839999999;-52,78949999999;13949129;17282163;18553389;20567359;21509230;21812728;16930431;23128238;31133851
Cândido Godói;4304309;-27,95149999999;-54,7517;960919;1083751;1222320;1378712;1690366;1903136;1965010;2134024;3031666
Candiota;4304358;-31,5515;-53,6773;8527805;11274733;8410715;13092605;11567700;10976176;16601285;42016745;37015526
Canela;4304408;-29,356;-50,8119;15494219;17104757;26284895;28515866;29631342;34150926;35389242;41936825;48215419
Canguçu;4304507;-31,396;-52,67819999999;7691511;7735855;8911039;10171850;11550796;13108261;13787580;15195615;17111644
Canoas;4304606;-29,9128;-51,18569999999;3023357109;3577199779;3690515614;4448092947;4605261508;4598936822;4956906935;4837107941;5326697090
Canudos do Vale;4304614;-29,3187;-52,23449999999;140091;163910;164839;192845;244096;263966;244789;240517;308178
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;233138;187076;256861;307041;222749;314010;277478;407135;1192534
Capão da Canoa;4304630;-29,6397;-49,95989999999;16315785;15483434;17775472;21074045;25821387;23593611;25659184;30259009;35592381
Capão do Cipó;4304655;-28,904;-54,7;324622;368135;391488;915212;835064;632685;966641;843957;1397937
Capão do Leão;4304663;-31,75649999999;-52,4889;22710568;17881857;23523481;26956667;23629687;19600713;23487128;17812911;19473946
Capela de Santana;4304689;-29,6961;-51,328;4937918;2740180;3759992;6551342;5833892;4049101;3979720;3598894;4416132
Capitão;4304697;-29,26739999999;-51,9853;419012;415811;492068;570547;602514;682380;704215;766281;906500
Capivari do Sul;4304671;-30,1382;-50,51509999999;21523327;13624594;17575842;20172711;16356823;15646773;18311734;17214019;12971445
Caraá;4304713;-29,78689999999;-50,4316;457635;581985;604604;689105;769746;896288;1042493;989676;3158640
Carazinho;4304705;-28,2958;-52,7933;65053680;60333804;69876925;78617578;100659328;108686764;124391866;124977330;131466659
