variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Água Santa;4300059;-28,1672;-52,03099999999;2375;2404;2473;2544;2813;2755;2884;3024;2977
Agudo;4300109;-29,6447;-53,2515;55861;61589;63706;60093;67030;60724;63291;59239;43186
Ajuricaba;4300208;-28,2342;-53,7757;4996;5258;5536;5572;6577;6204;6382;6514;6523
Alecrim;4300307;-27,6579;-54,76489999999;3170;3330;3558;3563;3874;3849;3896;4126;4210
Alegrete;4300406;-29,79019999999;-55,79489999999;182283;194027;197319;201711;209787;187746;186440;182740;199617
Alegria;4300455;-27,83449999999;-54,0557;2863;2888;3160;3481;3975;4194;4122;4202;4236
Alpestre;4300505;-27,2502;-53,0341;8492;8595;9241;9302;9868;10225;10313;10706;10891
Alto Feliz;4300570;-29,3919;-51,3123;4476;4442;4914;5231;5795;5825;6059;6668;7163
Alvorada;4300604;-29,99139999999;-51,0809;173653;185301;195206;209606;222694;216036;215881;221023;229076
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;3948;4306;4372;4512;5104;4979;5031;6131;5492
Ametista do Sul;4300646;-27,3607;-53,183;13061;14807;8965;13452;24407;25688;27760;29178;32995
André da Rocha;4300661;-28,62829999999;-51,5797;2942;2909;2976;3116;3265;3206;2984;3418;3567
Anta Gorda;4300703;-28,96979999999;-52,01019999999;12323;13213;14006;14526;15781;15933;16116;17189;17645
Antônio Prado;4300802;-28,8565;-51,2883;38686;40946;45208;52216;56321;55126;57292;60326;63524
Arambaré;4300851;-30,9093;-51,5046;10592;11182;10803;10817;12131;11680;12012;11661;12190
Araricá;4300877;-29,6168;-50,92909999999;12704;13649;13910;14597;16541;14716;14721;15370;17113
Aratiba;4300901;-27,3978;-52,29749999999;10558;10770;11306;11891;12451;12631;13940;14465;14772
Arroio do Meio;4301008;-29,40139999999;-51,9557;78990;84444;87531;93506;104656;107584;108900;109652;107696
Arroio do Padre;4301073;-31,4316;-52,41709999999;3154;4196;3571;3486;4233;4193;4134;4664;4638
Arroio do Sal;4301057;-29,5439;-49,88949999999;21332;22607;23422;22622;26776;26089;26092;27573;27868
Arroio do Tigre;4301206;-29,3348;-53,0966;17420;17977;18798;19482;21691;19675;22263;20802;21322
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;15791;16193;18802;20405;22169;22771;21579;23116;18329
Arroio Grande;4301305;-32,2327;-53,08619999999;43715;46361;46018;44542;41936;43843;45671;45333;49605
Arvorezinha;4301404;-28,87369999999;-52,1781;15406;15207;15887;16887;18624;19964;20100;20691;20903
Augusto Pestana;4301503;-28,51729999999;-53,9883;4626;4906;5378;5574;6053;5865;6090;6196;6305
Áurea;4301552;-27,6936;-52,0505;4187;4363;4578;4807;5173;5065;5165;5480;5655
Bagé;4301602;-31,32969999999;-54,09989999999;145797;153340;157004;160888;174837;168373;173512;171938;180715
Balneário Pinhal;4301636;-30,2419;-50,2336;21354;22664;23343;23678;26943;26024;25213;26483;26157
Barão;4301651;-29,3725;-51,4949;1165;1177;1253;1318;1482;1476;1484;1528;1537
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;8030;8185;8619;9153;9944;10180;10489;11177;11857
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;1845;2056;2117;2186;2413;2296;2178;2655;2535
Barra do Guarita;4301859;-27,19269999999;-53,7109;2264;2380;2529;2653;2909;3034;3082;3255;3397
Barra do Quaraí;4301875;-30,2029;-57,5497;31962;37238;37222;37689;33868;29892;29870;31799;39290
Barra do Ribeiro;4301909;-30,2939;-51,3014;19967;21143;22178;22778;27295;26131;25626;26449;25634
Barra do Rio Azul;4301925;-27,4068;-52,4084;2547;2697;2826;2752;2907;2982;2973;3055;3157
Barra Funda;4301958;-27,9205;-53,03909999999;5880;6030;6682;6567;7061;7210;7909;8393;8751
Barracão;4301800;-27,6739;-51,45859999999;6022;5989;6039;6095;6539;6478;6671;6817;6924
Barros Cassal;4302006;-29,0947;-52,58359999999;9098;9484;9722;10042;10231;10637;10724;11335;10806
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;1475;1522;1645;1723;1895;1893;2048;2107;2100
Bento Gonçalves;4302105;-29,1662;-51,5165;320689;398221;401289;428198;428687;401923;391577;404911;417038
Boa Vista das Missões;4302154;-27,6671;-53,3102;93;93;86;88;96;103;104;104;106
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;10867;11241;11439;12138;13407;13401;13910;15266;15666
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;1946;2329;2858;1998;2443;2023;2394;2080;2232
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;5064;6529;6135;6206;6922;7165;7507;7958;9265
Bom Jesus;4302303;-28,66969999999;-50,42949999999;14032;13603;15747;15082;16186;16086;15844;18470;18848
Bom Princípio;4302352;-29,4856;-51,35479999999;44788;48229;51058;52759;57804;56284;55866;57763;62456
Bom Progresso;4302378;-27,53989999999;-53,8716;2579;2716;2743;2832;3068;3142;3049;3371;3382
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;22572;23717;23625;24547;26511;25914;26503;27149;27950
