variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Número de Consumidores/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Água Santa;4300059;-28,1672;-52,03099999999;624;657;697;723;737;753;768;786;812
Agudo;4300109;-29,6447;-53,2515;5922;6020;6120;6278;6429;6453;6591;6684;6723
Ajuricaba;4300208;-28,2342;-53,7757;1647;1729;1794;1811;1813;1838;1861;1891;1935
Alecrim;4300307;-27,6579;-54,76489999999;1363;1415;1455;1471;1470;1491;1532;1558;1577
Alegrete;4300406;-29,79019999999;-55,79489999999;28949;29389;29736;30496;30790;31121;31127;31345;31507
Alegria;4300455;-27,83449999999;-54,0557;1017;1038;1051;1064;1060;1079;1086;1093;1109
Alpestre;4300505;-27,2502;-53,0341;1884;1925;1958;1991;1987;2010;2026;2044;2076
Alto Feliz;4300570;-29,3919;-51,3123;1329;1362;1390;1433;1449;1481;1511;1520;1549
Alvorada;4300604;-29,99139999999;-51,0809;52653;53912;55033;56442;58048;59659;59984;60815;61057
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;1793;1820;1831;1862;1874;1875;1921;1947;1968
Ametista do Sul;4300646;-27,3607;-53,183;294;302;308;317;298;304;295;291;297
André da Rocha;4300661;-28,62829999999;-51,5797;576;593;606;626;621;629;635;633;637
Anta Gorda;4300703;-28,96979999999;-52,01019999999;1946;2023;2051;2156;2182;2219;2225;2255;2305
Antônio Prado;4300802;-28,8565;-51,2883;5807;5987;6140;6251;6279;6365;6510;6643;6745
Arambaré;4300851;-30,9093;-51,5046;3372;3486;3603;3750;3879;3948;4076;4071;4199
Araricá;4300877;-29,6168;-50,92909999999;2296;2412;2577;2698;2810;2879;3030;3067;3158
Aratiba;4300901;-27,3978;-52,29749999999;3081;3186;3264;3362;3412;3467;3585;3640;3709
Arroio do Meio;4301008;-29,40139999999;-51,9557;7223;7448;7658;7922;8181;8434;8831;9001;9127
Arroio do Padre;4301073;-31,4316;-52,41709999999;941;962;970;1003;1023;1041;1063;1078;1100
Arroio do Sal;4301057;-29,5439;-49,88949999999;11637;12269;12851;13426;13950;14343;14872;15272;15722
Arroio do Tigre;4301206;-29,3348;-53,0966;3583;3616;3659;3786;3861;3864;3898;3951;3964
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;5256;5324;5402;5543;5738;5871;5919;6048;6332
Arroio Grande;4301305;-32,2327;-53,08619999999;7934;8059;8165;8284;8340;8472;8605;8746;8844
Arvorezinha;4301404;-28,87369999999;-52,1781;3393;3475;3546;3645;3652;3714;3740;3800;3829
Augusto Pestana;4301503;-28,51729999999;-53,9883;1560;1634;1696;1728;1731;1769;1814;1827;1850
Áurea;4301552;-27,6936;-52,0505;1516;1570;1602;1640;1650;1669;1702;1714;1748
Bagé;4301602;-31,32969999999;-54,09989999999;43585;44090;45054;45953;46524;47353;48278;49461;50390
Balneário Pinhal;4301636;-30,2419;-50,2336;13370;13760;14181;14615;14923;15224;15741;16033;16266
