variavel: Total;;;;;;;;;;;;
caminho: /Demografia/População/Estimativas Populacionais/Total;;;;;;;;;;;;
fonte: SPGG/DEE/Divisão de Indicadores Conjunturais;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;4540;4485;4539;4520;4564;4483;4472;4412;4487
Água Santa;4300059;-28,1672;-52,03099999999;4093;3789;3858;3898;3959;3922;3977;4013;4057
Agudo;4300109;-29,6447;-53,2515;16760;16791;16731;16838;16851;16701;16595;16475;16537
Ajuricaba;4300208;-28,2342;-53,7757;7584;7466;7389;7431;7299;7241;7279;7325;7546
Alecrim;4300307;-27,6579;-54,76489999999;6301;7092;7074;6891;6814;6598;6594;6569;6513
Alegrete;4300406;-29,79019999999;-55,79489999999;72072;77956;76251;75192;74229;73845;72900;72524;72516
Alegria;4300455;-27,83449999999;-54,0557;4247;4354;4296;4293;4198;4113;4122;4137;4231
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;2052;2011;1981;1981;2003;2031;2048;2085;2083
Alpestre;4300505;-27,2502;-53,0341;7318;7974;7784;7556;7454;7341;7355;7362;7406
Alto Alegre;4300554;-28,7769;-52,98919999999;1899;1871;1885;1886;1878;1850;1856;1866;1869
Alto Feliz;4300570;-29,3919;-51,3123;3263;3000;2993;2963;2974;3043;3123;3191;3245
Alvorada;4300604;-29,99139999999;-51,0809;210275;202454;205660;208464;210438;211417;212721;213396;212901
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;6428;6456;6349;6303;6302;6347;6370;6300;6330
Ametista do Sul;4300646;-27,3607;-53,183;7592;7296;7288;7345;7383;7464;7423;7476;7432
André da Rocha;4300661;-28,62829999999;-51,5797;1241;1235;1225;1228;1213;1218;1208;1211;1215
Anta Gorda;4300703;-28,96979999999;-52,01019999999;6787;6086;6185;6239;6273;6323;6433;6558;6614
Antônio Prado;4300802;-28,8565;-51,2883;13188;12982;12873;12800;12781;12899;13013;12969;12878
Arambaré;4300851;-30,9093;-51,5046;3880;3768;3781;3868;3847;3858;3857;3905;3877
Araricá;4300877;-29,6168;-50,92909999999;6039;4990;5178;5309;5472;5542;5663;5701;5811
Aratiba;4300901;-27,3978;-52,29749999999;6659;6841;6824;6832;6658;6657;6536;6526;6507
Arroio do Meio;4301008;-29,40139999999;-51,9557;22565;19235;19626;19726;20257;20467;20918;21012;21528
Arroio do Padre;4301073;-31,4316;-52,41709999999;2843;2798;2815;2765;2738;2798;2821;2841;2784
Arroio do Sal;4301057;-29,5439;-49,88949999999;10416;8150;8286;8528;8828;9285;9582;9854;10093
Arroio do Tigre;4301206;-29,3348;-53,0966;12744;12834;12810;12560;12523;12711;12967;13134;13068
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;14489;13849;13703;13803;13869;14085;14148;14183;14201
Arroio Grande;4301305;-32,2327;-53,08619999999;17519;18671;18616;18440;18237;18193;18114;18132;18013
Arvorezinha;4301404;-28,87369999999;-52,1781;10409;10480;10485;10258;10150;10118;10221;10253;10317
Augusto Pestana;4301503;-28,51729999999;-53,9883;7507;7080;6900;6935;7031;7211;7249;7333;7462
Áurea;4301552;-27,6936;-52,0505;3730;3752;3707;3756;3775;3774;3728;3645;3676
Bagé;4301602;-31,32969999999;-54,09989999999;121233;119469;119816;119444;118983;118682;119056;119539;120104
Balneário Pinhal;4301636;-30,2419;-50,2336;13674;11237;11392;11766;12099;12474;12674;12938;13216
Barão;4301651;-29,3725;-51,4949;6662;5803;6022;6082;6321;6387;6508;6470;6591
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;6773;6608;6684;6688;6753;6752;6924;6922;6916
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;6647;7168;7134;7082;7070;6975;6977;7007;7019
Barra do Guarita;4301859;-27,19269999999;-53,7109;3399;3143;3168;3198;3205;3228;3248;3310;3327
Barra do Quaraí;4301875;-30,2029;-57,5497;4217;4025;3998;3902;3902;3893;3984;4134;4273
Barra do Ribeiro;4301909;-30,2939;-51,3014;13212;12850;12863;12992;12924;13089;13179;13456;13442
Barra do Rio Azul;4301925;-27,4068;-52,4084;1804;2003;1962;1940;1904;1869;1828;1830;1824
