variavel: Total;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB/Total;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$ mil);2011 (R$ mil);2012 (R$ mil);2013 (R$ mil);2014 (R$ mil);2015 (R$ mil);2016 (R$ mil);2017 (R$ mil);2018 (R$ mil)
Aceguá;4300034;-31,86075999999;-54,16705999999;104475,56;115959,17;107458,39;181677,11;211646,19;240529,25;256120,74;262134,6;248093,56
Água Santa;4300059;-28,1672;-52,03099999999;100547,86;113699,35;133553,24;244117,46;229992,56;264841,83;268727,04;257306,89;330831,76
Agudo;4300109;-29,6447;-53,2515;245070,81;283364,84;302030,93;355289,66;430513,28;428992,24;441246,26;486170,09;499984,57
Ajuricaba;4300208;-28,2342;-53,7757;132823,1;189343,42;161636,15;203096,44;198579,65;238219,03;263419,2;255857,87;298759,19
Alecrim;4300307;-27,6579;-54,76489999999;58429,3;64736,04;67568,21;85232,24;88732,15;93963;102413,67;106114,94;110352,37
Alegrete;4300406;-29,79019999999;-55,79489999999;1064424,81;1104138,77;1296334,97;1515947,43;1669821,63;1820084,25;1902735,55;2019527,1;2185675,7
Alegria;4300455;-27,83449999999;-54,0557;46637,37;55491,97;46440,6;74894,2;83184,72;92561,09;111452,33;101635,11;113637,35
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;60757,23;73196,82;57605,42;105156,08;104373,14;121316,26;139384,65;130307,31;164568
Alpestre;4300505;-27,2502;-53,0341;83488,8;87558,61;82607,65;110526,39;121539,92;535450,87;448173,91;527200,59;490902,19
Alto Alegre;4300554;-28,7769;-52,98919999999;29527,27;37278,36;38227,16;57986,61;54312,78;56724,38;66575,41;63872,33;66548,33
Alto Feliz;4300570;-29,3919;-51,3123;36097,45;40838,7;44718,71;58403,87;64983,68;76817,98;81091,97;84070,48;94053,9
