variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Fundamental/Taxa de Abandono/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;0,4;0,4;0,3;0,3;0,9;1;0,7;0,5;0,1
Água Santa;4300059;-28,1672;-52,03099999999;0,4;0,3;-;-;0,4;0,4;0,7;0;0,5
Agudo;4300109;-29,6447;-53,2515;1,3;1,4;0,7;1,2;0,6;1,8;1,3;1,1;0,4
Ajuricaba;4300208;-28,2342;-53,7757;0,3;0,1;0,3;0,2;0,4;0,4;0,2;0,5;0,7
Alecrim;4300307;-27,6579;-54,76489999999;0,8;2,1;2,3;1;1,3;1,3;1,1;0,4;0,5
Alegrete;4300406;-29,79019999999;-55,79489999999;0,9;0,8;0,7;0,9;1;0,9;0,8;0,5;0,7
Alegria;4300455;-27,83449999999;-54,0557;0,9;1,2;0,5;0,9;0,5;0;0,5;1,9;1,8
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;0,4;0,5;0,5;1,1;0,5;0;0,4;0;0,6
Alpestre;4300505;-27,2502;-53,0341;1,5;1,2;1,9;0,8;0,7;0,3;0,3;0,4;1
Alto Alegre;4300554;-28,7769;-52,98919999999;0,5;-;-;-;0,6;0;0,9;0;0
Alto Feliz;4300570;-29,3919;-51,3123;0;-;-;0,3;1;1,4;1;1,4;1,3
Alvorada;4300604;-29,99139999999;-51,0809;2,2;2,4;2,6;1,7;2,3;2,3;2,1;2,3;1,7
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;1,3;0,8;0,6;0,2;0;0,6;0,8;0,5;1,1
Ametista do Sul;4300646;-27,3607;-53,183;0,6;0,7;0,2;0,3;0,2;0,4;0,3;1,3;1,7
André da Rocha;4300661;-28,62829999999;-51,5797;0;2,1;0,7;-;0,8;0;1,8;0;2,5
Anta Gorda;4300703;-28,96979999999;-52,01019999999;2,5;1,4;1,5;1,1;0,5;1,5;0,5;0,7;0,4
Antônio Prado;4300802;-28,8565;-51,2883;1;1,5;1,1;0,7;0,5;0,7;0,9;0,3;0,7
Arambaré;4300851;-30,9093;-51,5046;0,6;0,3;1;-;0,3;0;0;0;0,2
Araricá;4300877;-29,6168;-50,92909999999;0;0,7;-;0,8;1,7;1;0;1,1;0,2
Aratiba;4300901;-27,3978;-52,29749999999;0,2;0,3;0,2;0,3;0,2;0,1;0,1;0;0
Arroio do Meio;4301008;-29,40139999999;-51,9557;1,1;1,9;0,8;1,2;1,1;0,7;0,6;0,7;0,5
Arroio do Padre;4301073;-31,4316;-52,41709999999;1,7;1,7;1;0,8;0,2;0,2;0;0;0
Arroio do Sal;4301057;-29,5439;-49,88949999999;1,3;0,3;0,6;0,6;0,7;0,5;0,6;0,3;0,7
Arroio do Tigre;4301206;-29,3348;-53,0966;2,8;1,5;1;0,9;0,9;1,3;0,8;0,5;0,3
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;0,8;0,7;0,3;0,6;0,8;1,1;0,5;2,1;1,2
Arroio Grande;4301305;-32,2327;-53,08619999999;2,4;2,1;2,8;2,6;1,7;1,6;0,5;0,9;0,6
Arvorezinha;4301404;-28,87369999999;-52,1781;1;2,8;2,4;2,4;1,3;0,6;0,7;1,2;0,9
Augusto Pestana;4301503;-28,51729999999;-53,9883;0,5;1,4;0,3;1,4;1,5;1,6;0,5;0,4;1,4
