variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Médio/Taxa de Abandono/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;7,5;2,7;16,9;8,5;1,7;6,4;6,2;0,5;3,3
Água Santa;4300059;-28,1672;-52,03099999999;3,6;5;4,3;2,1;5,3;2,2;4,4;0;5,1
Agudo;4300109;-29,6447;-53,2515;9,7;7,7;6;8,2;4,7;4,9;4,1;1,1;4,8
Ajuricaba;4300208;-28,2342;-53,7757;8,7;4,4;4,1;8;8,6;5,5;10,1;0,5;9,5
Alecrim;4300307;-27,6579;-54,76489999999;3,1;3,1;1,3;3,3;1,9;4,9;7,4;0,4;3,5
Alegrete;4300406;-29,79019999999;-55,79489999999;12,2;11,5;12,2;15,9;9,5;7;5,6;0,5;5,8
Alegria;4300455;-27,83449999999;-54,0557;8,8;9;6,7;3,6;9,2;4,4;17,1;1,9;13,2
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;2,8;1,4;10,8;7;8;0;2,6;0;2,4
Alpestre;4300505;-27,2502;-53,0341;11,7;8,3;6,3;5,8;5,6;4,3;4,9;0,4;6,5
Alto Alegre;4300554;-28,7769;-52,98919999999;0;8,1;3,3;-;5;1,5;6,2;0;0
Alto Feliz;4300570;-29,3919;-51,3123;4,4;4,7;6,5;2,4;1,1;8,8;23,1;1,4;16,1
Alvorada;4300604;-29,99139999999;-51,0809;13,9;15,3;16,6;12,1;12;7;5,6;2,3;6,3
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;14,5;15,8;7,3;16,1;12,5;10,1;1,4;0,5;21,6
Ametista do Sul;4300646;-27,3607;-53,183;6,9;8,3;2,4;1,8;6,4;9,4;6;1,3;13,9
André da Rocha;4300661;-28,62829999999;-51,5797;8,9;3;16,6;-;9,6;0;8,1;0;14,3
Anta Gorda;4300703;-28,96979999999;-52,01019999999;8,2;7,6;10,5;7,1;4,2;9;4,8;0,7;7,7
Antônio Prado;4300802;-28,8565;-51,2883;3,4;4,3;6;5,7;3,9;3,6;3,9;0,3;4,9
Arambaré;4300851;-30,9093;-51,5046;15,1;18,8;20,7;11,7;18,1;3,2;18,7;0;19,6
Araricá;4300877;-29,6168;-50,92909999999;20,3;21,8;24,7;20;12,1;8;8,4;1,1;22
Aratiba;4300901;-27,3978;-52,29749999999;7;2,6;1,9;2,4;1,2;1,6;2,3;0;0
Arroio do Meio;4301008;-29,40139999999;-51,9557;14,1;1;8,7;7,3;5;5,3;5,9;0,7;2
Arroio do Padre;4301073;-31,4316;-52,41709999999;7,8;5;0,6;6,4;9,2;3,3;1;0;5,2
Arroio do Sal;4301057;-29,5439;-49,88949999999;14,5;14,1;14,3;2,3;3,3;8,1;5,5;0,3;0,4
Arroio do Tigre;4301206;-29,3348;-53,0966;8,2;6,8;6,1;8,7;5,6;5,9;7,1;0,5;11,8
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;10,4;9,4;8,7;9,3;3,3;3,7;4,6;2,1;6,1
Arroio Grande;4301305;-32,2327;-53,08619999999;13,8;1,4;9,5;5,2;3,9;2,4;4,6;0,9;2,9
Arvorezinha;4301404;-28,87369999999;-52,1781;17,5;13,3;10,8;10,5;4,6;7,5;4,5;1,2;11,9
Augusto Pestana;4301503;-28,51729999999;-53,9883;8,5;7,2;4,5;1,2;5,2;8,7;5,3;0,4;15
Áurea;4301552;-27,6936;-52,0505;2,4;2,1;4,7;5,9;1,7;4;1,6;0;2,8
Bagé;4301602;-31,32969999999;-54,09989999999;20;16,6;14,8;10,1;7,4;6;5,4;0,8;6,5
Balneário Pinhal;4301636;-30,2419;-50,2336;6,4;22;25,9;31,8;21,8;11,8;11,9;2,1;14
Barão;4301651;-29,3725;-51,4949;10,9;7,4;6,1;9,1;4,3;6,9;5,4;0;2,4
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;2;1,5;1,5;2,5;5,5;12;9,2;2,1;5,9
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;13,3;12,2;16,7;2,7;9,6;9,2;1,9;0,7;1
Barra do Guarita;4301859;-27,19269999999;-53,7109;6,6;-;7,2;2,7;5,5;7,1;5,7;0;7,7
Barra do Quaraí;4301875;-30,2029;-57,5497;25;14,8;14,1;17,5;8,1;16,7;12,9;0,3;11,2
Barra do Ribeiro;4301909;-30,2939;-51,3014;17,2;18,2;15,2;9,7;12,1;10,3;5,6;1;8,4
Barra do Rio Azul;4301925;-27,4068;-52,4084;1,4;2,7;1,4;-;0;0;0;0;0
Barra Funda;4301958;-27,9205;-53,03909999999;3,5;12,6;4,1;2,9;4;2,5;6,6;0;12
Barracão;4301800;-27,6739;-51,45859999999;8,1;5,9;1,6;1,6;9,3;3,7;9,6;2,5;6,8
Barros Cassal;4302006;-29,0947;-52,58359999999;11,9;9,7;12,7;4,7;3,2;1,9;4,5;0,4;3
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;6,8;13,7;16;6,6;8,4;0,7;7,4;0;7,3
