variavel: de Pessoas de 15 Anos ou Mais;;;;
caminho: /Educação/Taxa de Analfabetismo/de Pessoas de 15 Anos ou Mais;;;;
fonte: Instituto Brasileiro de Geografia e Estatística. ;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (%)
Aceguá;4300034;-31,86075999999;-54,16705999999;6,4
Água Santa;4300059;-28,1672;-52,03099999999;5,39
Agudo;4300109;-29,6447;-53,2515;6,78
Ajuricaba;4300208;-28,2342;-53,7757;5,14
Alecrim;4300307;-27,6579;-54,76489999999;7,83
Alegrete;4300406;-29,79019999999;-55,79489999999;5,92
Alegria;4300455;-27,83449999999;-54,0557;10,13
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;4,27
Alpestre;4300505;-27,2502;-53,0341;12,73
Alto Alegre;4300554;-28,7769;-52,98919999999;7,26
Alto Feliz;4300570;-29,3919;-51,3123;2,69
Alvorada;4300604;-29,99139999999;-51,0809;3,93
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;12,05
Ametista do Sul;4300646;-27,3607;-53,183;11,41
André da Rocha;4300661;-28,62829999999;-51,5797;6,67
Anta Gorda;4300703;-28,96979999999;-52,01019999999;5,62
Antônio Prado;4300802;-28,8565;-51,2883;4,81
Arambaré;4300851;-30,9093;-51,5046;7,38
Araricá;4300877;-29,6168;-50,92909999999;4,93
Aratiba;4300901;-27,3978;-52,29749999999;4,36
Arroio do Meio;4301008;-29,40139999999;-51,9557;1,87
Arroio do Padre;4301073;-31,4316;-52,41709999999;4,76
Arroio do Sal;4301057;-29,5439;-49,88949999999;3,88
Arroio do Tigre;4301206;-29,3348;-53,0966;7,05
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;7,11
Arroio Grande;4301305;-32,2327;-53,08619999999;8,2
Arvorezinha;4301404;-28,87369999999;-52,1781;8,27
Augusto Pestana;4301503;-28,51729999999;-53,9883;4,2
Áurea;4301552;-27,6936;-52,0505;5,42
Bagé;4301602;-31,32969999999;-54,09989999999;4,93
Balneário Pinhal;4301636;-30,2419;-50,2336;5,19
Barão;4301651;-29,3725;-51,4949;3,06
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;3,82
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;9,75
Barra do Guarita;4301859;-27,19269999999;-53,7109;9,92
Barra do Quaraí;4301875;-30,2029;-57,5497;7,43
Barra do Ribeiro;4301909;-30,2939;-51,3014;7,03
Barra do Rio Azul;4301925;-27,4068;-52,4084;7,96
Barra Funda;4301958;-27,9205;-53,03909999999;5,07
