variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Fundamental/Taxa de Aprovação/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;85,1;88,8;-;90,3;88,5;87,1;89,4;91,4;93,6
Água Santa;4300059;-28,1672;-52,03099999999;92,8;91,7;-;94,8;91,2;92,9;92,5;90,3;89,4
Agudo;4300109;-29,6447;-53,2515;81,9;87,4;-;87,8;87,9;85,1;85,2;87,7;86
Ajuricaba;4300208;-28,2342;-53,7757;93,5;91,5;-;96,2;92,5;96,1;94,5;95,9;92,1
Alecrim;4300307;-27,6579;-54,76489999999;82,8;85,9;-;90,3;93,3;93,3;93,1;94,2;92,4
Alegrete;4300406;-29,79019999999;-55,79489999999;84,6;85,6;-;89,7;91,5;89,9;90,3;89,3;91,5
Alegria;4300455;-27,83449999999;-54,0557;96,5;95,9;-;97;99;98,6;95,7;92,9;93,1
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;92,7;89,5;-;97,4;97,8;94,3;91,4;95,4;86,4
Alpestre;4300505;-27,2502;-53,0341;90,7;92,5;-;96,6;97,6;97,4;95,3;96;96,4
Alto Alegre;4300554;-28,7769;-52,98919999999;91,1;93,1;-;97,6;94;91,3;93,1;96,2;96,6
Alto Feliz;4300570;-29,3919;-51,3123;92;95,7;-;96,7;93,9;90,5;91,9;90,2;90,9
Alvorada;4300604;-29,99139999999;-51,0809;78,2;79,5;-;84,1;85,8;83,5;84;84,3;84,4
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;87,5;87,3;-;93,9;91,8;87,3;86,1;89,8;90
Ametista do Sul;4300646;-27,3607;-53,183;87;87,4;-;88,8;90;89;91;89,3;86,2
André da Rocha;4300661;-28,62829999999;-51,5797;89,3;89,5;-;94,7;88,3;90,4;81,1;86,3;81,7
Anta Gorda;4300703;-28,96979999999;-52,01019999999;88,4;88,1;-;96,5;95,1;93;95;95,8;91,6
Antônio Prado;4300802;-28,8565;-51,2883;84,2;81,5;-;88,9;89,9;90,2;92,1;91,1;91,5
Arambaré;4300851;-30,9093;-51,5046;88,5;85,1;-;88,8;91,1;95,4;91;90,7;85
Araricá;4300877;-29,6168;-50,92909999999;90,5;86,4;-;89,6;88,2;90,6;88;91,8;91,6
Aratiba;4300901;-27,3978;-52,29749999999;95,3;98,1;-;97,6;99,3;98;96,7;97,3;97,1
Arroio do Meio;4301008;-29,40139999999;-51,9557;89,7;88,2;-;90,7;93,5;93,5;92,8;94;93,2
Arroio do Padre;4301073;-31,4316;-52,41709999999;76,8;79,8;-;90,6;90,1;86,8;81,7;86,3;91,6
Arroio do Sal;4301057;-29,5439;-49,88949999999;86,1;91,7;-;91,8;89,9;90,1;93,4;89,2;89,4
Arroio do Tigre;4301206;-29,3348;-53,0966;86;88,2;-;90,6;92,9;93,9;93,9;93,7;92,4
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;81,5;81,2;-;84,4;89,3;87,6;88,9;87,8;89,7
Arroio Grande;4301305;-32,2327;-53,08619999999;77,4;8,2;-;81,2;85,5;85,2;84,2;85,3;87,2
Arvorezinha;4301404;-28,87369999999;-52,1781;83;81,4;-;91,7;96,5;94,3;96,2;95,4;94,2
Augusto Pestana;4301503;-28,51729999999;-53,9883;90,7;85,5;-;85,1;90,9;88,5;87,3;89,7;85,4
Áurea;4301552;-27,6936;-52,0505;93,3;95,9;-;99,8;98,3;98,7;92,6;96,9;94,1
Bagé;4301602;-31,32969999999;-54,09989999999;83,5;86,3;-;85,5;89,7;88,3;86,9;87,8;90,1
Balneário Pinhal;4301636;-30,2419;-50,2336;79,8;8,6;-;82,3;83,2;83,9;83;85;81,4
Barão;4301651;-29,3725;-51,4949;90,8;91;-;90,8;91,1;92,5;90,6;93;91,8
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;84;88,4;-;88,7;92,6;90,2;89,9;86,7;84,8
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;88,9;92,2;-;95,1;89,6;86,8;83,4;88,2;88,3
Barra do Guarita;4301859;-27,19269999999;-53,7109;92,6;85,5;-;90;93,6;93,7;93,4;96,7;95
Barra do Quaraí;4301875;-30,2029;-57,5497;82,7;86,4;-;90,2;93,1;86,9;90,5;89,7;90,4
Barra do Ribeiro;4301909;-30,2939;-51,3014;80,4;83,4;-;88,6;84,8;85,5;84,9;82,9;84,5
Barra do Rio Azul;4301925;-27,4068;-52,4084;96,8;96,6;-;99,4;100;100;99,2;98,8;100
Barra Funda;4301958;-27,9205;-53,03909999999;95,9;97,2;-;99,2;98,4;97,7;97,1;98,6;98
Barracão;4301800;-27,6739;-51,45859999999;85,1;87,6;-;91,3;94,2;92,4;91,2;88,8;86,4
Barros Cassal;4302006;-29,0947;-52,58359999999;84,2;8,9;-;90,8;90,8;91,4;92,1;86,4;83,9
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;91,1;91,5;-;94,5;93,6;95,1;93,2;97,3;94,6
Bento Gonçalves;4302105;-29,1662;-51,5165;87,1;9,2;-;88,6;90;91,5;90,4;89,5;89,2
