variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Médio/Taxa de Aprovação/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;73,1;57,6;73,7;90,4;76,6;81,5;87,6;72;78,7
Água Santa;4300059;-28,1672;-52,03099999999;89;84,1;87;86,6;82,7;82,1;83;87,9;83,7
Agudo;4300109;-29,6447;-53,2515;76,9;75,6;82,9;76,9;84,9;71,2;69,5;73,6;68,6
Ajuricaba;4300208;-28,2342;-53,7757;86,3;81,3;89,6;79,1;84,7;83,8;79,8;76;78,1
Alecrim;4300307;-27,6579;-54,76489999999;77,4;8,4;89,3;88,2;82,9;86,6;79,3;78,9;85,2
Alegrete;4300406;-29,79019999999;-55,79489999999;64,2;67,2;70,6;70,1;78,1;77,8;74,6;76,1;75,5
Alegria;4300455;-27,83449999999;-54,0557;80,7;84,5;85,5;89,2;84,4;82,6;71,3;69,5;73,6
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;82,9;77,5;87,7;86;84;89,7;92,3;92,1;75,6
Alpestre;4300505;-27,2502;-53,0341;76,2;83;85,8;90,7;90,5;89,2;86;92,5;92,3
Alto Alegre;4300554;-28,7769;-52,98919999999;87,1;77,4;80,6;91,8;93,4;90,8;84,4;83,3;78,7
Alto Feliz;4300570;-29,3919;-51,3123;94,2;87,5;89,6;86;82,1;71,4;72;80,6;76,8
Alvorada;4300604;-29,99139999999;-51,0809;61,9;65,2;67,2;72,7;77,6;77;76;74,7;75,2
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;73;64,8;71,6;65,3;71,7;71,6;59,7;66,7;71,2
Ametista do Sul;4300646;-27,3607;-53,183;79;72,2;87,4;87,3;69,4;70,4;73,4;77,9;75,6
André da Rocha;4300661;-28,62829999999;-51,5797;88,2;97;80,6;90;71;84,2;78,4;90,6;75
Anta Gorda;4300703;-28,96979999999;-52,01019999999;82,8;85,6;86,4;92,9;88,4;83,3;88,3;85,4;82,8
Antônio Prado;4300802;-28,8565;-51,2883;87,8;8,9;83,2;84,1;86,3;85,3;87,7;86,2;85,5
Arambaré;4300851;-30,9093;-51,5046;70,9;66,5;63,3;63;72,5;85,6;68,1;65,4;68,8
Araricá;4300877;-29,6168;-50,92909999999;51,1;48,9;59;75,4;85,2;75,2;60,9;52;49
Aratiba;4300901;-27,3978;-52,29749999999;89,7;94;94,7;96,8;98,8;93,3;88,5;90,7;92,5
Arroio do Meio;4301008;-29,40139999999;-51,9557;74,4;76,6;81,5;81,7;88,3;87,7;85,8;86,6;89,2
