variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Médio/Taxa de Reprovação/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;19,4;21,7;9,4;1,1;21,7;12,1;6,2;16,7;18
Água Santa;4300059;-28,1672;-52,03099999999;7,4;1,9;8,7;11,3;12;15,7;12,6;5,6;11,2
Agudo;4300109;-29,6447;-53,2515;13,4;16,7;11,1;14,9;10,4;24;26,4;22,6;26,6
Ajuricaba;4300208;-28,2342;-53,7757;5;14,3;6,3;12,9;6,7;10,7;10,1;11,6;12,4
Alecrim;4300307;-27,6579;-54,76489999999;19,5;16,5;9,4;8,5;15,2;8,5;13,3;11,2;11,3
Alegrete;4300406;-29,79019999999;-55,79489999999;23,6;21,3;17,2;14;12,4;15,3;19,8;17,7;18,7
Alegria;4300455;-27,83449999999;-54,0557;10,5;6,5;7,8;7,2;6,4;13;11,6;16,9;13,2
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;14,3;21,1;1,5;7;8;10,3;5,1;7,9;22
Alpestre;4300505;-27,2502;-53,0341;12,1;8,7;7,9;3,5;3,9;6,5;9,1;4,9;1,2
Alto Alegre;4300554;-28,7769;-52,98919999999;12,9;14,5;16,1;8,2;1,6;7,7;9,4;16,7;21,3
Alto Feliz;4300570;-29,3919;-51,3123;1,4;7,8;3,9;11,6;16,8;19,8;4,9;12,9;7,1
Alvorada;4300604;-29,99139999999;-51,0809;24,2;19,5;16,2;15,2;10,4;16,1;18,4;17,1;18,6
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;12,5;19,4;21,1;18,6;15,8;18,3;38,9;15,4;7,2
Ametista do Sul;4300646;-27,3607;-53,183;14,1;19,5;10,2;10,9;24,2;20,2;20,6;15,7;10,5
André da Rocha;4300661;-28,62829999999;-51,5797;2,9;-;2,8;10;19,4;15,8;13,5;9,4;10,7
Anta Gorda;4300703;-28,96979999999;-52,01019999999;9;6,8;3,1;-;7,4;7,8;6,9;9;9,6
Antônio Prado;4300802;-28,8565;-51,2883;8,8;14,8;10,8;10,2;9,8;11,1;8,4;7,6;9,7
Arambaré;4300851;-30,9093;-51,5046;14;14,7;16;25,3;9,4;11,2;13,2;19;11,6
Araricá;4300877;-29,6168;-50,92909999999;28,6;29,3;16,3;4,6;2,7;16,8;30,7;28,5;29
Aratiba;4300901;-27,3978;-52,29749999999;3,3;3,4;3,4;0,8;0;5,1;9,2;9,3;7,5
Arroio do Meio;4301008;-29,40139999999;-51,9557;11,5;13,4;9,8;11;6,8;7;8,3;8,8;8,8
Arroio do Padre;4301073;-31,4316;-52,41709999999;0,8;2,2;18,9;9,5;8,7;15,1;35,1;-;16,4
Arroio do Sal;4301057;-29,5439;-49,88949999999;16,5;2,4;8,7;11,6;21,2;9,4;20,1;23,8;29,1
Arroio do Tigre;4301206;-29,3348;-53,0966;3,5;4,6;3,3;2,6;2;3,5;2,1;9,6;6,6
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;24,4;27,1;21,6;27,8;26,6;17,6;12,5;19,1;18,9
Arroio Grande;4301305;-32,2327;-53,08619999999;28,2;34,9;24,3;21,8;16;32,2;30;29,3;33,8
Arvorezinha;4301404;-28,87369999999;-52,1781;10,2;16,9;11,7;1,2;5;9,7;13,3;19,5;5
Augusto Pestana;4301503;-28,51729999999;-53,9883;8,4;2,5;13,6;10;13,6;30,2;25;26,9;27,9
Áurea;4301552;-27,6936;-52,0505;4,3;5;0,7;-;0,8;0;0;0;3,7
Bagé;4301602;-31,32969999999;-54,09989999999;23,3;25;19,7;20,4;15,7;13,7;17,9;16,3;17,1
Balneário Pinhal;4301636;-30,2419;-50,2336;36,5;35,6;24,1;12,1;25,1;30,6;17,5;40,5;34,8
Barão;4301651;-29,3725;-51,4949;3,7;21,9;11,4;11,3;13,7;4,4;7,3;4,4;3,9
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;6,5;7,2;3,6;3;7,9;6,9;7,3;6,4;9,2
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;5,8;8,5;8,2;15,9;17,8;19,4;23,3;14,6;24,5
Barra do Guarita;4301859;-27,19269999999;-53,7109;19,8;7,6;8,9;12,6;10;9,2;18,4;6,8;12,5
Barra do Quaraí;4301875;-30,2029;-57,5497;21,7;23;14,7;15,2;11,9;24;24,5;9,4;18,2
Barra do Ribeiro;4301909;-30,2939;-51,3014;20,9;16,8;13,2;15,2;11,1;17,5;21,1;28,2;28,5
Barra do Rio Azul;4301925;-27,4068;-52,4084;0;5,4;-;-;0;0;0;0;0
Barra Funda;4301958;-27,9205;-53,03909999999;13,6;9,1;2,1;7;11,3;26,4;13;9,3;9
Barracão;4301800;-27,6739;-51,45859999999;2,5;14,7;2,7;2,1;9,3;21,6;15,1;18,4;16,9
Barros Cassal;4302006;-29,0947;-52,58359999999;6,8;8,2;3,5;8,9;9,7;11,5;14,7;21,6;23,4
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;1;11,6;3,6;1;7,3;13,6;15,7;15,6;17,6
Bento Gonçalves;4302105;-29,1662;-51,5165;18,8;18,1;14,8;15;14,6;15,8;13,4;17,1;13,9
Boa Vista das Missões;4302154;-27,6671;-53,3102;1,5;1,3;1,5;7;1,7;0;3,8;2,3;4,1
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;23,4;23,7;10,9;4,1;7,9;14,1;14,3;15,7;11,9
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;17,2;9,5;9,7;1,6;12,2;2,5;13,2;38,4;43,2
Boa Vista do Incra;4302238;-28,8092;-53,3874;19,8;26,1;14,1;6,2;5,6;8,5;15,4;9,4;5,1
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;2,5;9,7;1,2;-;0;1,2;5,1;5;7,7
Bom Jesus;4302303;-28,66969999999;-50,42949999999;6,7;13,2;7,2;-;4,8;4,9;20,9;8,4;5,6
Bom Princípio;4302352;-29,4856;-51,35479999999;12,4;5,7;5,9;8,3;4,2;6,8;11,8;11,8;16,9
Bom Progresso;4302378;-27,53989999999;-53,8716;8,3;6,4;3,3;8,5;9,4;9,8;14,3;14,6;7,3
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;20,6;21,3;19,5;19;16,1;16;25,7;25;19,5
Boqueirão do Leão;4302451;-29,3046;-52,4284;16,4;11,5;12,4;19,8;16,3;19,2;21,8;14,5;13,9
Bossoroca;4302501;-28,72909999999;-54,9035;22,9;19;13,1;17,8;20,7;12,3;33,6;11,5;26
Bozano;4302584;-28,36746;-53,77223999999;16,7;7,2;3,2;1,7;7,4;11,8;23,1;17,9;8,1
Braga;4302600;-27,6173;-53,74049999999;17,8;19,4;19,4;21,3;9,8;16;23,1;19,3;19,6
Brochier;4302659;-29,5501;-51,59449999999;12,3;6,7;11,3;18,8;6,7;7,8;17,3;22,8;16,3
Butiá;4302709;-30,11789999999;-51,96009999999;19,5;13,4;12,9;14,6;10,1;14,4;17,1;20,6;20,1
Caçapava do Sul;4302808;-30,51439999999;-53,4827;37,3;31,4;25,2;15,3;17;20,8;21,1;21,1;22,9
