variavel: Total;;;;;;;;;;;;
caminho: /Comunicações/Acessos à Internet/Meio de Acesso/Total;;;;;;;;;;;;
fonte: Agência Nacional de Telecomunicações.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;675;4517;1667;1668;1668;1600;1665;1782;4817
Água Santa;4300059;-28,1672;-52,03099999999;137;369;660;624;624;860;1347;2257;4010
Agudo;4300109;-29,6447;-53,2515;2731;8474;10313;10905;10905;13349;16000;15843;14597
Ajuricaba;4300208;-28,2342;-53,7757;836;2506;2743;2810;2810;2934;3107;2996;6182
Alecrim;4300307;-27,6579;-54,76489999999;354;1035;1844;2347;2347;2671;2456;2715;6731
Alegrete;4300406;-29,79019999999;-55,79489999999;16963;51435;72932;83828;83828;94449;107241;107345;127327
Alegria;4300455;-27,83449999999;-54,0557;154;647;686;790;790;756;639;724;676
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;16;60;105;1251;1251;2125;2612;3043;3040
Alpestre;4300505;-27,2502;-53,0341;247;1956;2228;2274;2274;2586;3011;4315;7602
Alto Alegre;4300554;-28,7769;-52,98919999999;1;86;331;368;368;564;644;1053;3132
Alto Feliz;4300570;-29,3919;-51,3123;276;1022;1071;1806;1806;2079;2463;3269;3923
Alvorada;4300604;-29,99139999999;-51,0809;38039;134332;238982;278066;278066;319857;335758;380869;403914
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;206;817;1687;2039;2039;4474;7941;10752;16052
Ametista do Sul;4300646;-27,3607;-53,183;661;1707;1968;2007;2007;2080;1995;2223;10708
André da Rocha;4300661;-28,62829999999;-51,5797;142;222;836;1509;1509;1890;2290;3906;2662
Anta Gorda;4300703;-28,96979999999;-52,01019999999;371;1132;1813;1992;1992;1743;1696;2093;2423
Antônio Prado;4300802;-28,8565;-51,2883;3079;8557;10513;13567;13567;13519;14457;18360;34008
Arambaré;4300851;-30,9093;-51,5046;617;1835;1645;2142;2142;2937;3200;3265;6486
Araricá;4300877;-29,6168;-50,92909999999;564;1849;2173;2612;2612;1950;2620;2588;9603
Aratiba;4300901;-27,3978;-52,29749999999;292;726;1901;1659;1659;1761;1777;1890;7447
Arroio do Meio;4301008;-29,40139999999;-51,9557;7135;26677;39915;47255;47255;63081;61535;65460;110380
Arroio do Padre;4301073;-31,4316;-52,41709999999;23;333;418;883;883;1058;1237;1808;5348
