variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;55;55;93;77;21
Água Santa;4300059;-28,1672;-52,03099999999;55;52;42;55;40
Agudo;4300109;-29,6447;-53,2515;175;187;234;200;132
Ajuricaba;4300208;-28,2342;-53,7757;96;79;69;91;77
Alecrim;4300307;-27,6579;-54,76489999999;93;78;88;90;83
Alegrete;4300406;-29,79019999999;-55,79489999999;954;1016;905;993;946
Alegria;4300455;-27,83449999999;-54,0557;75;63;62;61;55
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;38;34;22;24;19
Alpestre;4300505;-27,2502;-53,0341;124;130;122;138;110
Alto Alegre;4300554;-28,7769;-52,98919999999;22;25;31;19;22
Alto Feliz;4300570;-29,3919;-51,3123;30;49;33;39;30
Alvorada;4300604;-29,99139999999;-51,0809;2095;2188;2262;2408;2223
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;91;70;78;80;82
Ametista do Sul;4300646;-27,3607;-53,183;137;91;91;137;86
André da Rocha;4300661;-28,62829999999;-51,5797;20;9;17;18;15
Anta Gorda;4300703;-28,96979999999;-52,01019999999;71;75;73;69;64
Antônio Prado;4300802;-28,8565;-51,2883;170;177;147;113;112
Arambaré;4300851;-30,9093;-51,5046;53;43;36;58;62
Araricá;4300877;-29,6168;-50,92909999999;79;97;90;103;71
Aratiba;4300901;-27,3978;-52,29749999999;96;91;80;99;78
Arroio do Meio;4301008;-29,40139999999;-51,9557;221;220;214;240;127
Arroio do Padre;4301073;-31,4316;-52,41709999999;43;56;32;26;21
Arroio do Sal;4301057;-29,5439;-49,88949999999;117;92;99;121;100
Arroio do Tigre;4301206;-29,3348;-53,0966;206;166;161;143;139
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;167;142;169;171;124
Arroio Grande;4301305;-32,2327;-53,08619999999;230;251;229;216;215
Arvorezinha;4301404;-28,87369999999;-52,1781;131;102;125;114;100
Augusto Pestana;4301503;-28,51729999999;-53,9883;83;86;56;68;68
Áurea;4301552;-27,6936;-52,0505;52;52;41;50;54
Bagé;4301602;-31,32969999999;-54,09989999999;1353;1429;1461;1070;1200
Balneário Pinhal;4301636;-30,2419;-50,2336;127;93;115;82;150
Barão;4301651;-29,3725;-51,4949;60;60;63;69;38
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;79;57;68;69;63
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;95;121;83;109;61
Barra do Guarita;4301859;-27,19269999999;-53,7109;46;32;40;39;24
Barra do Quaraí;4301875;-30,2029;-57,5497;40;41;52;48;51
Barra do Ribeiro;4301909;-30,2939;-51,3014;134;156;150;152;141
Barra do Rio Azul;4301925;-27,4068;-52,4084;35;28;16;27;27
Barra Funda;4301958;-27,9205;-53,03909999999;32;44;41;32;28
Barracão;4301800;-27,6739;-51,45859999999;77;79;65;60;78
Barros Cassal;4302006;-29,0947;-52,58359999999;181;141;143;166;130
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;66;33;41;56;53
Bento Gonçalves;4302105;-29,1662;-51,5165;1062;1155;1110;1319;653
Boa Vista das Missões;4302154;-27,6671;-53,3102;42;26;33;38;17
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;92;91;77;95;97
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;27;27;39;33;18
Boa Vista do Incra;4302238;-28,8092;-53,3874;37;31;15;30;23
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;27;25;21;33;38
Bom Jesus;4302303;-28,66969999999;-50,42949999999;156;123;160;142;105
Bom Princípio;4302352;-29,4856;-51,35479999999;125;141;126;138;112
Bom Progresso;4302378;-27,53989999999;-53,8716;38;46;34;35;32
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;137;130;138;140;104
Boqueirão do Leão;4302451;-29,3046;-52,4284;98;90;95;52;86
Bossoroca;4302501;-28,72909999999;-54,9035;115;108;111;111;80
Bozano;4302584;-28,36746;-53,77223999999;22;14;25;26;24
Braga;4302600;-27,6173;-53,74049999999;53;43;41;53;47
Brochier;4302659;-29,5501;-51,59449999999;47;48;53;49;51
Butiá;4302709;-30,11789999999;-51,96009999999;199;199;209;197;140
Caçapava do Sul;4302808;-30,51439999999;-53,4827;358;372;372;332;329
Cacequi;4302907;-29,8883;-54,822;180;153;156;138;152
Cachoeira do Sul;4303004;-30,033;-52,8928;927;893;745;732;823
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;1476;1513;1537;1465;1431
