variavel: Total;;;;;;;;
caminho: /Educação/Ensino Médio/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Aceguá;4300034;-31,86075999999;-54,16705999999;36;42;29;34;34
Água Santa;4300059;-28,1672;-52,03099999999;50;42;25;39;42
Agudo;4300109;-29,6447;-53,2515;119;113;115;101;116
Ajuricaba;4300208;-28,2342;-53,7757;53;60;83;62;63
Alecrim;4300307;-27,6579;-54,76489999999;65;63;55;57;51
Alegrete;4300406;-29,79019999999;-55,79489999999;687;620;649;667;777
Alegria;4300455;-27,83449999999;-54,0557;41;42;33;52;41
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;17;22;16;15;17
Alpestre;4300505;-27,2502;-53,0341;51;68;72;83;90
Alto Alegre;4300554;-28,7769;-52,98919999999;22;15;14;15;16
Alto Feliz;4300570;-29,3919;-51,3123;19;20;14;22;23
Alvorada;4300604;-29,99139999999;-51,0809;1210;1259;1371;1547;1623
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;60;62;63;67;49
Ametista do Sul;4300646;-27,3607;-53,183;84;64;64;80;65
André da Rocha;4300661;-28,62829999999;-51,5797;6;10;10;7;8
Anta Gorda;4300703;-28,96979999999;-52,01019999999;67;80;54;51;67
Antônio Prado;4300802;-28,8565;-51,2883;111;129;121;122;113
Arambaré;4300851;-30,9093;-51,5046;45;31;28;30;27
Araricá;4300877;-29,6168;-50,92909999999;30;42;47;38;68
Aratiba;4300901;-27,3978;-52,29749999999;91;73;83;85;73
Arroio do Meio;4301008;-29,40139999999;-51,9557;191;161;169;173;165
Arroio do Padre;4301073;-31,4316;-52,41709999999;39;38;30;47;46
Arroio do Sal;4301057;-29,5439;-49,88949999999;70;49;82;70;80
Arroio do Tigre;4301206;-29,3348;-53,0966;132;113;126;146;116
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;68;84;86;101;79
Arroio Grande;4301305;-32,2327;-53,08619999999;82;86;69;92;138
Arvorezinha;4301404;-28,87369999999;-52,1781;118;105;92;81;93
Augusto Pestana;4301503;-28,51729999999;-53,9883;62;46;30;39;51
Áurea;4301552;-27,6936;-52,0505;57;27;51;39;39
Bagé;4301602;-31,32969999999;-54,09989999999;804;787;846;834;1159
Balneário Pinhal;4301636;-30,2419;-50,2336;45;50;47;64;58
Barão;4301651;-29,3725;-51,4949;79;60;67;59;59
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;53;54;72;58;44
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;67;64;70;72;65
Barra do Guarita;4301859;-27,19269999999;-53,7109;18;27;34;31;27
Barra do Quaraí;4301875;-30,2029;-57,5497;29;26;30;26;32
Barra do Ribeiro;4301909;-30,2939;-51,3014;76;62;71;75;89
Barra do Rio Azul;4301925;-27,4068;-52,4084;23;19;22;22;20
Barra Funda;4301958;-27,9205;-53,03909999999;37;38;41;45;35
Barracão;4301800;-27,6739;-51,45859999999;42;58;43;61;56
Barros Cassal;4302006;-29,0947;-52,58359999999;89;116;87;100;78
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;40;17;22;27;29
Bento Gonçalves;4302105;-29,1662;-51,5165;694;712;666;772;911
Boa Vista das Missões;4302154;-27,6671;-53,3102;12;23;19;23;17
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;54;48;64;61;87
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;10;17;21;14;13
Boa Vista do Incra;4302238;-28,8092;-53,3874;24;24;15;22;25
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;37;42;27;28;24
Bom Jesus;4302303;-28,66969999999;-50,42949999999;100;85;83;98;95
Bom Princípio;4302352;-29,4856;-51,35479999999;96;70;96;112;114
Bom Progresso;4302378;-27,53989999999;-53,8716;46;45;55;52;24
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;83;121;88;89;96
Boqueirão do Leão;4302451;-29,3046;-52,4284;56;70;61;74;50
Bossoroca;4302501;-28,72909999999;-54,9035;54;51;50;55;52
Bozano;4302584;-28,36746;-53,77223999999;11;14;25;16;14
Braga;4302600;-27,6173;-53,74049999999;31;32;41;33;32
Brochier;4302659;-29,5501;-51,59449999999;36;39;41;30;42
Butiá;4302709;-30,11789999999;-51,96009999999;169;153;176;197;150
Caçapava do Sul;4302808;-30,51439999999;-53,4827;229;168;223;221;288
Cacequi;4302907;-29,8883;-54,822;102;103;86;83;121
Cachoeira do Sul;4303004;-30,033;-52,8928;559;511;581;560;667
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;1170;1068;1099;1045;1218
Cacique Doble;4303202;-27,76699999999;-51,6597;38;46;41;43;47
Caibaté;4303301;-28,2905;-54,6454;50;32;50;43;57
Caiçara;4303400;-27,2791;-53,42569999999;52;58;44;39;48
Camaquã;4303509;-30,8489;-51,80429999999;432;492;437;416;485
Camargo;4303558;-28,588;-52,20029999999;23;32;27;25;25
Cambará do Sul;4303608;-29,0474;-50,1465;52;48;54;56;55
Campestre da Serra;4303673;-28,7926;-51,09409999999;30;21;25;35;36
Campina das Missões;4303707;-27,9888;-54,8417;72;63;75;68;58
Campinas do Sul;4303806;-27,7174;-52,6248;52;56;46;48;49
Campo Bom;4303905;-29,6747;-51,0606;452;462;444;446;582
Campo Novo;4304002;-27,6792;-53,80519999999;43;47;44;64;41
Campos Borges;4304101;-28,8871;-53,00079999999;39;34;20;28;40
Candelária;4304200;-29,66839999999;-52,78949999999;175;216;201;187;222
Cândido Godói;4304309;-27,95149999999;-54,7517;73;51;60;61;73
Candiota;4304358;-31,5515;-53,6773;40;86;70;104;93
Canela;4304408;-29,356;-50,8119;439;361;361;328;358
Canguçu;4304507;-31,396;-52,67819999999;230;236;253;254;319
Canoas;4304606;-29,9128;-51,18569999999;2344;2065;2253;2311;2458
Canudos do Vale;4304614;-29,3187;-52,23449999999;33;19;20;24;25
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;11;13;25;19;22
Capão da Canoa;4304630;-29,6397;-49,95989999999;321;357;326;306;426
Capão do Cipó;4304655;-28,904;-54,7;21;20;20;33;31
Capão do Leão;4304663;-31,75649999999;-52,4889;35;47;51;51;112
Capela de Santana;4304689;-29,6961;-51,328;59;61;61;43;72
Capitão;4304697;-29,26739999999;-51,9853;22;30;35;34;40
Capivari do Sul;4304671;-30,1382;-50,51509999999;37;31;28;46;36
Caraá;4304713;-29,78689999999;-50,4316;44;41;57;52;49
Carazinho;4304705;-28,2958;-52,7933;536;486;494;515;527
Carlos Barbosa;4304804;-29,2969;-51,50289999999;229;210;280;203;255
Carlos Gomes;4304853;-27,71669999999;-51,9121;30;19;26;16;21
Casca;4304903;-28,5605;-51,98149999999;65;69;113;95;108
Caseiros;4304952;-28,25819999999;-51,6861;22;22;32;24;21
Catuípe;4305009;-28,2554;-54,01319999999;59;63;49;66;68
Caxias do Sul;4305108;-29,1629;-51,1792;3037;2871;3081;3387;3854
Centenário;4305116;-27,7616;-51,99839999999;29;32;29;30;19
Cerrito;4305124;-31,84189999999;-52,8004;47;58;51;40;39
Cerro Branco;4305132;-29,657;-52,9406;37;42;46;27;35
Cerro Grande;4305157;-27,6106;-53,1672;24;20;16;25;17
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;32;43;69;85;106
Cerro Largo;4305207;-28,1462;-54,7428;141;134;140;118;128
Chapada;4305306;-28,0559;-53,06649999999;78;79;93;81;93
Charqueadas;4305355;-29,9625;-51,6289;232;272;280;264;255
Charrua;4305371;-27,9493;-52,015;20;15;17;14;16
Chiapetta;4305405;-27,92299999999;-53,94189999999;35;32;28;27;21
Chuí;4305439;-33,68659999999;-53,4594;51;38;32;40;41
Chuvisca;4305447;-30,75039999999;-51,9737;31;41;46;49;40
Cidreira;4305454;-30,16039999999;-50,2338;68;73;83;64;91
Ciríaco;4305504;-28,34189999999;-51,87409999999;45;46;54;47;59
Colinas;4305587;-29,38149999999;-51,8526;19;17;13;13;20
Colorado;4305603;-28,5258;-52,9928;25;40;26;22;32
Condor;4305702;-28,2075;-53,49049999999;48;62;67;49;69
