variavel:  Total;;;;;;;;;;;
caminho: /Educação/Educação Superior/Concluintes/ Total;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;
descricao: ;;;;;;;;;;;
Município;ibge;latitude;longitude;2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Alegrete;4300406;-29,79019999999;-55,79489999999;351;320;205;250;230;273;351;400
Alvorada;4300604;-29,99139999999;-51,0809;29;54;45;50;45;33;25;22
Bagé;4301602;-31,32969999999;-54,09989999999;623;541;316;421;217;535;647;744
Bento Gonçalves;4302105;-29,1662;-51,5165;738;826;990;811;837;986;920;880
Caçapava do Sul;4302808;-30,51439999999;-53,4827;63;45;22;65;35;64;52;53
Cachoeira do Sul;4303004;-30,033;-52,8928;272;216;219;144;154;135;165;261
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;223;73;175;311;266;241;325;389
Camaquã;4303509;-30,8489;-51,80429999999;36;21;22;27;42;41;38;39
Campo Bom;4303905;-29,6747;-51,0606;-;-;-;-;-;-;-;0
Canela;4304408;-29,356;-50,8119;212;146;144;139;123;123;72;120
Canoas;4304606;-29,9128;-51,18569999999;3933;2887;2647;2452;2630;2507;2374;2673
Capão da Canoa;4304630;-29,6397;-49,95989999999;40;70;62;66;66;43;71;56
Capão do Leão;4304663;-31,75649999999;-52,4889;333;293;300;324;412;333;361;507
Carazinho;4304705;-28,2958;-52,7933;505;438;415;383;369;360;307;415
Casca;4304903;-28,5605;-51,98149999999;130;150;133;152;142;135;151;131
Caxias do Sul;4305108;-29,1629;-51,1792;3077;2855;3518;3437;4163;3672;3652;3397
Cerro Largo;4305207;-28,1462;-54,7428;0;47;11;88;138;154;211;190
Charqueadas;4305355;-29,9625;-51,6289;0;0;2;4;8;2;7;3
Cidreira;4305454;-30,16039999999;-50,2338;14;10;5;4;1;3;5;5
Cruz Alta;4306106;-28,645;-53,60479999999;393;418;313;406;342;335;477;482
Dom Pedrito;4306601;-30,9756;-54,6694;91;72;72;84;40;85;77;100
Eldorado do Sul;4306767;-30,0847;-51,61869999999;0;0;5;6;8;8;11;12
Encantado;4306809;-29,23509999999;-51,8703;5;16;17;10;7;11;18;18
Erechim;4307005;-27,63639999999;-52,2697;146;1270;162;1643;944;975;916;966
Estrela;4307807;-29,5016;-51,9605;0;0;3;11;33;20;45;41
Farroupilha;4307906;-29,2227;-51,3419;98;202;190;186;240;211;219;190
Feliz;4308102;-29,4527;-51,30319999999;0;0;13;17;14;32;23;41
Frederico Westphalen;4308508;-27,35859999999;-53,3958;562;487;537;577;791;649;715;751
Garibaldi;4308607;-29,259;-51,5352;31;45;78;88;86;92;87;68
Getúlio Vargas;4308904;-27,8911;-52,22939999999;54;172;159;152;136;174;200;270
Gravataí;4309209;-29,94129999999;-50,98689999999;1060;652;648;565;611;557;515;538
Guaíba;4309308;-30,10859999999;-51,3233;266;172;185;150;162;146;163;196
Guaporé;4309407;-28,8399;-51,88949999999;21;45;40;35;41;57;39;29
Horizontina;4309605;-27,6282;-54,3053;32;58;85;70;61;57;61;73
Ibirubá;4310009;-28,63019999999;-53,0961;5;0;1;3;13;15;4;26
Igrejinha;4310108;-29,56929999999;-50,79189999999;-;-;-;0;8;9;4;9
Ijuí;4310207;-28,3881;-53,92;646;629;661;693;753;729;693;640
Imbé;4310330;-29,9753;-50,1281;17;14;7;10;15;15;7;11
Itaqui;4310603;-29,131;-56,55149999999;85;57;50;78;60;73;97;108
Ivoti;4310801;-29,59949999999;-51,1533;7;7;29;16;26;34;32;29
